SUID,BEND_MAP_ID,Gene_A,Gene_B,interaction,name,Name_A,Name_B,SCORE,selected,shared interaction,shared name,source,source_original,target,target_original,TYPE
262,472979,GO:0006732,GO:0051188,Direct,,GO:0006732,GO:0051188,0.717430516,FALSE,Direct,,128,,119,,Direct
263,472978,GO:0006732,GO:0051186,Direct,,GO:0006732,GO:0051186,0.87071015,FALSE,Direct,,128,,117,,Direct
264,472977,GO:0006732,GO:0035383,Direct,,GO:0006732,GO:0035383,0.480504068,FALSE,Direct,,128,,113,,Direct
265,472976,GO:0006732,GO:0034032,Direct,,GO:0006732,GO:0034032,0.51184453,FALSE,Direct,,128,,116,,Direct
266,472975,GO:0006732,GO:0033875,Direct,,GO:0006732,GO:0033875,0.51184453,FALSE,Direct,,128,,115,,Direct
267,472974,GO:0006732,GO:0033865,Direct,,GO:0006732,GO:0033865,0.51184453,FALSE,Direct,,128,,114,,Direct
268,472973,GO:0006732,GO:0019637,Direct,,GO:0006732,GO:0019637,0.322834217,FALSE,Direct,,128,,2,,Direct
269,472972,GO:0006732,GO:0009108,Direct,,GO:0006732,GO:0009108,0.784871559,FALSE,Direct,,128,,118,,Direct
270,473356,GO:1901135,GO:1901137,Direct,,GO:1901135,GO:1901137,0.811007811,FALSE,Direct,,127,,103,,Direct
271,472788,GO:0006066,GO:1901617,Direct,,GO:0006066,GO:1901617,0.502013446,FALSE,Direct,,126,,20,,Direct
272,472787,GO:0006066,GO:1901615,Direct,,GO:0006066,GO:1901615,0.704297236,FALSE,Direct,,126,,137,,Direct
273,472786,GO:0006066,GO:0046173,Direct,,GO:0006066,GO:0046173,0.441183054,FALSE,Direct,,126,,47,,Direct
274,472785,GO:0006066,GO:0046165,Direct,,GO:0006066,GO:0046165,0.739156902,FALSE,Direct,,126,,45,,Direct
275,472784,GO:0006066,GO:0043647,Direct,,GO:0006066,GO:0043647,0.489683267,FALSE,Direct,,126,,46,,Direct
276,472783,GO:0006066,GO:0032958,Direct,,GO:0006066,GO:0032958,0.349004794,FALSE,Direct,,126,,48,,Direct
277,472782,GO:0006066,GO:0019751,Direct,,GO:0006066,GO:0019751,0.747561917,FALSE,Direct,,126,,44,,Direct
278,473377,ath00562,ath04070,Direct,,ath00562,ath04070,0.796472787,FALSE,Direct,,124,,62,,Direct
279,473378,ath00564,ath00565,Direct,,ath00564,ath00565,0.46925595,FALSE,Direct,,123,,26,,Direct
280,473376,ath00561,ath00564,Direct,,ath00561,ath00564,0.397604476,FALSE,Direct,,122,,123,,Direct
281,473380,ath01212,ath_M00086,Direct,,ath01212,ath_M00086,0.311411232,FALSE,Direct,,121,,67,,Direct
282,473379,ath01212,ath04146,Direct,,ath01212,ath04146,0.357620067,FALSE,Direct,,121,,36,,Direct
283,473037,GO:0009108,GO:0051188,Direct,,GO:0009108,GO:0051188,0.898687788,FALSE,Direct,,118,,119,,Direct
284,473036,GO:0009108,GO:0051186,Direct,,GO:0009108,GO:0051186,0.664902096,FALSE,Direct,,118,,117,,Direct
285,473035,GO:0009108,GO:0046434,Direct,,GO:0009108,GO:0046434,0.329746983,FALSE,Direct,,118,,120,,Direct
286,473338,GO:0051186,GO:1901135,Direct,,GO:0051186,GO:1901135,0.365148059,FALSE,Direct,,117,,127,,Direct
287,473337,GO:0051186,GO:0051188,Direct,,GO:0051186,GO:0051188,0.757998475,FALSE,Direct,,117,,119,,Direct
288,473248,GO:0034032,GO:1901135,Direct,,GO:0034032,GO:1901135,0.30021168,FALSE,Direct,,116,,127,,Direct
289,473247,GO:0034032,GO:0051186,Direct,,GO:0034032,GO:0051186,0.419210374,FALSE,Direct,,116,,117,,Direct
290,473246,GO:0034032,GO:0035383,Direct,,GO:0034032,GO:0035383,0.958011465,FALSE,Direct,,116,,113,,Direct
291,473245,GO:0033875,GO:1901135,Direct,,GO:0033875,GO:1901135,0.30021168,FALSE,Direct,,115,,127,,Direct
292,473244,GO:0033875,GO:0051186,Direct,,GO:0033875,GO:0051186,0.419210374,FALSE,Direct,,115,,117,,Direct
293,473243,GO:0033875,GO:0035383,Direct,,GO:0033875,GO:0035383,0.958011465,FALSE,Direct,,115,,113,,Direct
294,473242,GO:0033875,GO:0034032,Direct,,GO:0033875,GO:0034032,1,FALSE,Direct,,115,,116,,Direct
295,473241,GO:0033865,GO:1901135,Direct,,GO:0033865,GO:1901135,0.30021168,FALSE,Direct,,114,,127,,Direct
296,473240,GO:0033865,GO:0051186,Direct,,GO:0033865,GO:0051186,0.419210374,FALSE,Direct,,114,,117,,Direct
297,473239,GO:0033865,GO:0035383,Direct,,GO:0033865,GO:0035383,0.958011465,FALSE,Direct,,114,,113,,Direct
298,473238,GO:0033865,GO:0034032,Direct,,GO:0033865,GO:0034032,1,FALSE,Direct,,114,,116,,Direct
299,473237,GO:0033865,GO:0033875,Direct,,GO:0033865,GO:0033875,1,FALSE,Direct,,114,,115,,Direct
300,473254,GO:0035383,GO:0051186,Direct,,GO:0035383,GO:0051186,0.392047671,FALSE,Direct,,113,,117,,Direct
301,472893,GO:0006637,GO:0051186,Direct,,GO:0006637,GO:0051186,0.392047671,FALSE,Direct,,112,,117,,Direct
302,472892,GO:0006637,GO:0035383,Direct,,GO:0006637,GO:0035383,1,FALSE,Direct,,112,,113,,Direct
303,472891,GO:0006637,GO:0034032,Direct,,GO:0006637,GO:0034032,0.958011465,FALSE,Direct,,112,,116,,Direct
304,472890,GO:0006637,GO:0033875,Direct,,GO:0006637,GO:0033875,0.958011465,FALSE,Direct,,112,,115,,Direct
305,472889,GO:0006637,GO:0033865,Direct,,GO:0006637,GO:0033865,0.958011465,FALSE,Direct,,112,,114,,Direct
306,472888,GO:0006637,GO:0006732,Direct,,GO:0006637,GO:0006732,0.480504068,FALSE,Direct,,112,,128,,Direct
307,473363,M00055,ath00510,Direct,,M00055,ath00510,0.600422369,FALSE,Direct,,111,,105,,Direct
308,472818,GO:0006487,ath00510,Direct,,GO:0006487,ath00510,0.575056592,FALSE,Direct,,110,,105,,Direct
309,472817,GO:0006487,M00055,Direct,,GO:0006487,M00055,0.41521665,FALSE,Direct,,110,,111,,Direct
310,472816,GO:0006487,GO:0070085,Direct,,GO:0006487,GO:0070085,0.594136135,FALSE,Direct,,110,,104,,Direct
311,472815,GO:0006487,GO:0043413,Direct,,GO:0006487,GO:0043413,0.625442708,FALSE,Direct,,110,,107,,Direct
312,472814,GO:0006487,GO:0009101,Direct,,GO:0006487,GO:0009101,0.625442708,FALSE,Direct,,110,,108,,Direct
313,472813,GO:0006487,GO:0009100,Direct,,GO:0006487,GO:0009100,0.617325296,FALSE,Direct,,110,,109,,Direct
314,473028,GO:0009100,ath00510,Direct,,GO:0009100,ath00510,0.650916497,FALSE,Direct,,109,,105,,Direct
315,473027,GO:0009100,M00055,Direct,,GO:0009100,M00055,0.344903667,FALSE,Direct,,109,,111,,Direct
316,473026,GO:0009100,GO:1901137,Direct,,GO:0009100,GO:1901137,0.538403533,FALSE,Direct,,109,,103,,Direct
317,473025,GO:0009100,GO:1901135,Direct,,GO:0009100,GO:1901135,0.410490112,FALSE,Direct,,109,,127,,Direct
318,473024,GO:0009100,GO:0070085,Direct,,GO:0009100,GO:0070085,0.954245016,FALSE,Direct,,109,,104,,Direct
319,473023,GO:0009100,GO:0043413,Direct,,GO:0009100,GO:0043413,0.990524419,FALSE,Direct,,109,,107,,Direct
320,473022,GO:0009100,GO:0009101,Direct,,GO:0009100,GO:0009101,0.990524419,FALSE,Direct,,109,,108,,Direct
321,473034,GO:0009101,ath00510,Direct,,GO:0009101,ath00510,0.658992724,FALSE,Direct,,108,,105,,Direct
322,473033,GO:0009101,M00055,Direct,,GO:0009101,M00055,0.350265353,FALSE,Direct,,108,,111,,Direct
323,473032,GO:0009101,GO:1901137,Direct,,GO:0009101,GO:1901137,0.541746238,FALSE,Direct,,108,,103,,Direct
324,473031,GO:0009101,GO:1901135,Direct,,GO:0009101,GO:1901135,0.404341846,FALSE,Direct,,108,,127,,Direct
325,473030,GO:0009101,GO:0070085,Direct,,GO:0009101,GO:0070085,0.963081032,FALSE,Direct,,108,,104,,Direct
326,473029,GO:0009101,GO:0043413,Direct,,GO:0009101,GO:0043413,1,FALSE,Direct,,108,,107,,Direct
327,473277,GO:0043413,ath00510,Direct,,GO:0043413,ath00510,0.658992724,FALSE,Direct,,107,,105,,Direct
328,473276,GO:0043413,M00055,Direct,,GO:0043413,M00055,0.350265353,FALSE,Direct,,107,,111,,Direct
329,473275,GO:0043413,GO:1901137,Direct,,GO:0043413,GO:1901137,0.541746238,FALSE,Direct,,107,,103,,Direct
330,473274,GO:0043413,GO:1901135,Direct,,GO:0043413,GO:1901135,0.404341846,FALSE,Direct,,107,,127,,Direct
331,473273,GO:0043413,GO:0070085,Direct,,GO:0043413,GO:0070085,0.963081032,FALSE,Direct,,107,,104,,Direct
332,472812,GO:0006486,ath00510,Direct,,GO:0006486,ath00510,0.658992724,FALSE,Direct,,106,,105,,Direct
333,472811,GO:0006486,M00055,Direct,,GO:0006486,M00055,0.350265353,FALSE,Direct,,106,,111,,Direct
334,472810,GO:0006486,GO:1901137,Direct,,GO:0006486,GO:1901137,0.541746238,FALSE,Direct,,106,,103,,Direct
335,472809,GO:0006486,GO:1901135,Direct,,GO:0006486,GO:1901135,0.404341846,FALSE,Direct,,106,,127,,Direct
336,472808,GO:0006486,GO:0070085,Direct,,GO:0006486,GO:0070085,0.963081032,FALSE,Direct,,106,,104,,Direct
